,date,mob_total,new_confirmed,new_deceased,population,covid_severity
175,2020-08-08,-2876.0,264968.0,6619.0,7756777743.0,4.2692727698540685e-05
176,2020-08-09,-3065.0,208394.0,5559.0,7756777743.0,3.403268841088412e-05
177,2020-08-10,-3099.0,233481.0,5692.0,7756777743.0,3.743835515489257e-05
178,2020-08-11,-3391.0,299408.0,6739.0,7756777743.0,4.72874191001556e-05
179,2020-08-12,-2899.0,291809.0,6862.0,7756777743.0,4.646633072931145e-05
180,2020-08-13,-3710.0,301280.0,6918.0,7756777743.0,4.7759522352476406e-05
181,2020-08-14,-3579.0,288272.0,6184.0,7756777743.0,4.513626812576316e-05
182,2020-08-15,-3918.0,256045.0,6020.0,7756777743.0,4.0770151018622525e-05
183,2020-08-16,-2559.0,213324.0,5337.0,7756777743.0,3.438206028794294e-05
184,2020-08-17,-3681.0,233578.0,5843.0,7756777743.0,3.7645528810403096e-05
185,2020-08-18,-3954.0,270724.0,6391.0,7756777743.0,4.314085192166115e-05
186,2020-08-19,-3680.0,291030.0,6715.0,7756777743.0,4.617639074720618e-05
187,2020-08-20,-4736.0,287507.0,6287.0,7756777743.0,4.5170431796398065e-05
188,2020-08-21,-5089.0,266607.0,6032.0,7756777743.0,4.2147269243988705e-05
189,2020-08-22,-4569.0,254323.0,5827.0,7756777743.0,4.029933696142001e-05
190,2020-08-23,-4647.0,209264.0,5078.0,7756777743.0,3.352474553427462e-05
191,2020-08-24,-4601.0,230586.0,5428.0,7756777743.0,3.6724785656914495e-05
192,2020-08-25,-4527.0,286140.0,6377.0,7756777743.0,4.5110226384373534e-05
193,2020-08-26,-4637.0,294338.0,6169.0,7756777743.0,4.589895595774839e-05
194,2020-08-27,-4742.0,290456.0,6060.0,7756777743.0,4.5257968144930514e-05
195,2020-08-28,-4927.0,294301.0,5929.0,7756777743.0,4.558477910741911e-05
196,2020-08-29,-4499.0,265343.0,5625.0,7756777743.0,4.1459612567888426e-05
197,2020-08-30,-4564.0,212435.0,4634.0,7756777743.0,3.3361146673762574e-05
198,2020-08-31,-4892.0,269973.0,5193.0,7756777743.0,4.149957761655567e-05
199,2020-09-01,-4482.0,287847.0,6085.0,7756777743.0,4.495384701652396e-05
200,2020-09-02,-5011.0,300712.0,6204.0,7756777743.0,4.676581075529213e-05
201,2020-09-03,-5207.0,299034.0,5898.0,7756777743.0,4.615499010824242e-05
202,2020-09-04,-4756.0,326153.0,5921.0,7756777743.0,4.9680809837276264e-05
203,2020-09-05,-3357.0,263721.0,9136.0,7756777743.0,4.5776869180045554e-05
204,2020-09-06,-3920.0,217454.0,6528.0,7756777743.0,3.644992925769331e-05
205,2020-09-07,-5484.0,241418.0,4818.0,7756777743.0,3.733483278689322e-05
206,2020-09-08,-4554.0,270447.0,5098.0,7756777743.0,4.143821192892467e-05
207,2020-09-09,-4922.0,306426.0,6028.0,7756777743.0,4.727555850506725e-05
208,2020-09-10,-4322.0,312952.0,5840.0,7756777743.0,4.787451855702861e-05
209,2020-09-11,-3655.0,324403.0,5596.0,7756777743.0,4.903621227812715e-05
210,2020-09-12,-2814.0,288604.0,5298.0,7756777743.0,4.403684252887843e-05
211,2020-09-13,-3285.0,233991.0,4793.0,7756777743.0,3.634511769457567e-05
212,2020-09-14,-3270.0,267539.0,5117.0,7756777743.0,4.108780869577121e-05
213,2020-09-15,-2955.0,309140.0,5967.0,7756777743.0,4.75468051579572e-05
214,2020-09-16,-3398.0,322289.0,6208.0,7756777743.0,4.9552663842517424e-05
215,2020-09-17,-5118.0,326849.0,5760.0,7756777743.0,4.9562977403463806e-05
216,2020-09-18,-4954.0,334819.0,5774.0,7756777743.0,5.060851464440368e-05
217,2020-09-19,-3441.0,291110.0,5375.0,7756777743.0,4.4459182849632925e-05
218,2020-09-20,-3732.0,234204.0,4382.0,7756777743.0,3.5842718356974843e-05
219,2020-09-21,-4357.0,273442.0,4992.0,7756777743.0,4.1687671184315384e-05
220,2020-09-22,-4813.0,321853.0,5646.0,7756777743.0,4.877192727887601e-05
221,2020-09-23,-5413.0,325788.0,5824.0,7756777743.0,4.950870228898345e-05
222,2020-09-24,-6327.0,330135.0,5619.0,7756777743.0,4.980483040765656e-05
223,2020-09-25,-6352.0,331526.0,5657.0,7756777743.0,5.003314686310717e-05
224,2020-09-26,-5176.0,289985.0,5404.0,7756777743.0,4.435153505725502e-05
225,2020-09-27,-5554.0,235612.0,4349.0,7756777743.0,3.598169359072739e-05
226,2020-09-28,-6350.0,272214.0,4870.0,7756777743.0,4.137207621935597e-05
227,2020-09-29,-5620.0,320802.0,5788.0,7756777743.0,4.8819498578741214e-05
228,2020-09-30,-5975.0,334048.0,5868.0,7756777743.0,5.063030204190292e-05
229,2020-10-01,-6871.0,336824.0,5608.0,7756777743.0,5.065299187598497e-05
230,2020-10-02,-6099.0,335908.0,5530.0,7756777743.0,5.0434344383921586e-05
231,2020-10-03,-5854.0,301026.0,5006.0,7756777743.0,4.526183573028541e-05
232,2020-10-04,-6512.0,247358.0,4749.0,7756777743.0,3.801166022399979e-05
233,2020-10-05,-6690.0,291277.0,4918.0,7756777743.0,4.389155023904621e-05
234,2020-10-06,-6486.0,352828.0,5773.0,7756777743.0,5.292893693782867e-05
235,2020-10-07,-6410.0,362509.0,6137.0,7756777743.0,5.464627375491375e-05
236,2020-10-08,-6242.0,373569.0,5673.0,7756777743.0,5.5473937020861214e-05
237,2020-10-09,-6355.0,377551.0,5488.0,7756777743.0,5.57487934200824e-05
238,2020-10-10,-5707.0,338630.0,5278.0,7756777743.0,5.046038612531121e-05
239,2020-10-11,-6646.0,280000.0,4557.0,7756777743.0,4.197232546643563e-05
